"infect","recover","death"
71,0,3
153,0,5
856,0,55
507,0,18
155,0,4
88,0,1
72,0,0
164,0,9
227,0,5
1584,0,55
361,0,14
164,0,9
943,0,42
102,0,5
165,0,4
216,0,2
270,0,10
165,0,9
861,0,189
2075,0,161
29,0,3
79,0,3
165,0,4
352,0,1
3,0,0
38,0,0
23,0,0
