"infect","recover","death"
84,0,1
198,0,6
867,0,65
347,0,39
105,0,4
63,0,0
36,0,1
68,0,8
306,0,5
430,0,83
303,0,22
142,0,6
462,0,58
91,0,1
115,0,6
126,0,4
176,0,11
105,0,4
670,0,58
1866,0,197
26,0,5
104,0,5
104,0,3
50,0,0
61,0,8
21,0,0
9,0,0
