"infect","recover","death"
107,0,13
288,0,6
396,0,19
85,0,2
230,0,3
218,0,0
169,0,3
549,0,18
506,0,34
2015,0,178
658,0,21
533,0,10
450,0,68
188,0,7
0,0,18
234,0,8
379,0,10
206,0,7
1142,0,118
1598,0,52
148,0,8
0,0,8
461,0,3
730,0,1
204,0,3
112,0,5
79,0,0
