"infect","recover","death"
240,0,2
467,0,6
1671,0,49
1713,0,85
115,0,5
160,0,11
229,0,2
386,0,18
616,0,23
3160,0,90
1154,0,30
644,0,3
1849,0,132
222,0,2
191,0,3
188,0,6
642,0,34
399,0,10
1500,0,245
3132,0,215
129,0,5
445,0,6
848,0,2
406,0,6
190,0,8
48,0,3
59,0,0
