"confirm","recover","death"
3,18,1
1,11,0
8,17,0
1,2,0
3,0,0
3,7,0
2,0,0
7,11,0
8,28,0
11,23,0
7,42,0
16,32,0
4,7,0
13,23,0
11,28,0
28,43,2
2420,912,139
13,37,0
33,54,0
9,5,0
5,8,0
8,24,1
7,10,0
3,5,0
6,8,0
0,0,0
1,5,0
0,5,0
0,0,0
3,3,0
5,0,0
