"confirm","recover","death"
1,9,0
2,8,0
1,9,0
1,4,0
2,1,0
1,9,0
0,2,0
12,10,0
3,16,0
9,36,0
4,33,0
11,34,0
3,7,0
5,36,0
4,11,0
15,41,3
1933,1016,100
2,37,0
6,37,2
1,5,0
0,13,0
7,23,0
14,9,0
2,10,0
2,0,0
0,0,0
4,11,0
0,5,0
0,0,0
0,0,0
4,1,0
