"confirm","recover","death"
1,2,0
0,0,0
0,0,0
0,0,0
1,0,0
1,3,0
0,0,0
20,0,0
5,27,0
0,0,0
1,1,0
0,0,0
0,3,0
0,0,0
1,0,0
0,1,0
0,69,2
0,0,0
8,9,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,1,0
1,0,0
0,0,0
0,0,0
0,0,0
