"infect","recover","death"
82,0,2
204,0,5
1285,0,44
1075,0,54
130,0,7
117,0,9
100,0,3
381,0,12
186,0,5
1305,0,138
853,0,28
324,0,13
2279,0,80
180,0,5
218,0,14
267,0,3
397,0,11
278,0,4
1614,0,176
2805,0,187
103,0,3
98,0,6
116,0,2
353,0,1
68,0,2
72,0,1
29,0,1
