"infect","recover","death"
458,0,6
272,0,3
484,0,18
1095,0,66
410,0,7
291,0,3
139,0,3
888,0,19
854,0,33
696,0,17
2123,0,38
523,0,17
881,0,35
373,0,15
3,0,14
318,0,9
669,0,26
764,0,8
3223,0,68
2524,0,87
292,0,5
98,0,3
280,0,5
773,0,6
144,0,1
216,0,13
121,0,0
