"confirm","recover","death"
5,4,1
4,4,1
21,6,0
3,1,0
0,0,0
0,5,0
1,1,0
29,12,1
7,4,0
23,12,0
25,50,0
30,15,1
6,4,0
32,25,0
27,8,0
32,29,1
2097,427,103
33,27,0
26,38,0
5,12,0
6,0,0
18,15,0
12,6,0
9,3,0
8,1,0
0,0,0
5,6,0
3,5,0
0,0,0
4,1,0
6,0,0
