"confirm","recover","death"
1,3,0
0,4,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
13,0,0
2,8,0
0,1,0
2,1,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,183,3
0,0,0
2,9,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
