"confirm","recover","death"
3,8,0
0,3,0
1,1,0
8,0,0
3,0,0
0,0,0
0,0,0
20,1,0
6,17,0
0,0,0
1,2,0
0,0,0
0,2,0
0,0,0
0,0,0
0,0,0
0,33,0
0,0,0
5,9,0
0,0,0
0,0,0
0,0,0
0,2,0
0,0,0
0,0,0
0,0,0
0,3,0
0,0,0
0,0,0
0,0,0
0,0,0
