"confirm","recover","death"
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,1,0
1,13,0
0,1,0
0,1,0
0,0,0
0,4,0
0,0,0
0,3,0
0,0,0
0,0,0
0,0,0
1,6,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
