"confirm","recover","death"
11,3,0
7,2,0
11,5,1
11,6,0
2,0,0
7,5,0
9,1,0
26,1,1
11,11,0
29,8,0
15,46,0
46,12,1
11,4,0
41,17,0
28,12,1
53,34,2
2060,324,81
35,40,1
45,28,0
12,1,1
6,4,0
20,8,0
23,10,0
7,1,0
2,5,0
0,0,0
11,8,0
8,3,0
0,0,0
1,8,0
3,0,0
